Invoice,Bill
195,95.82684201
196,157.9734112
197,138.0325236
198,166.7736347
199,128.2942623
200,228.7473432
201,114.3671595
202,70.33989663
203,230.1799871
204,119.9017238
205,130.953249
206,224.9483671
207,195.6762752
208,383.7118883
209,180.1426065
210,214.1114731
211,84.51226753
212,85.31848563
213,112.9829472
214,270.7137853
215,83.58136623
216,190.6855245
217,82.18602458
218,78.72935451
219,180.4068358
220,257.7307347
221,166.7021986
222,73.9237662
223,340.4394509
224,280.6510444
225,332.7933553
226,145.1025061
227,108.115811
228,146.7543856
229,156.5211807
230,124.013909
231,158.6929034
232,98.64842226
233,129.5509171
234,241.0963905
235,102.0692006
236,168.6962505
237,263.5482384
238,182.5092141
239,222.0908005
240,122.8959512
241,113.0531639
242,200.5960678
243,203.3199196
244,96.44584592
245,231.8607661
246,122.7487693
247,103.2115376
248,319.9694927
249,120.0790464
250,139.6400525
251,81.8333422
252,108.9231989
253,226.4847552
254,193.9409604
255,251.4410864
256,204.122862
257,178.6088183
258,273.8626425
259,141.668135
260,85.18894695
261,107.6610126
262,130.1704268
263,96.40727779
264,96.18487197
265,196.6350212
266,75.71428311
267,156.3765202
268,180.7647672
269,77.2086756
270,153.3365073
271,76.42892204
272,88.04853545
273,191.2317317
274,185.822794
275,89.86145281
276,202.29326
277,204.1850735
278,107.1753122
279,458.5537095
280,109.2057228
281,141.262432
282,104.6999521
283,117.4140221
284,242.252745
285,129.4634955
286,415.0498135
287,115.1216141
288,210.6568662
289,198.6068388
290,138.2255419
291,123.7759133
292,309.062334
293,160.1950558
294,333.3134094
295,132.5464903
296,248.3930994
297,154.4914022
298,188.8703311
299,232.943014
300,299.2516142
301,134.5731829
302,217.5687159
303,131.0535819
304,223.1309543
305,192.6195828
306,179.4009312
307,140.3254003
308,117.0542375
309,172.9159845
310,198.6731967
311,236.9226734
312,220.1902231
313,71.24410845
314,179.1467552
315,91.19456477
316,129.2082383
317,88.33593696
318,159.434289
319,116.29871
320,154.7562338
321,257.460814
322,252.6447766
323,138.3220829
324,179.4444686
325,273.1085515
326,118.2022409
327,151.4513291
328,139.5824279
329,86.51909278
330,117.4439325
331,123.0347001
332,103.6958235
333,254.9247359
334,111.1637987
335,121.6648246
336,87.22559805
337,145.2876287
338,142.0941075
339,104.241019
340,184.5546287
341,70.59929483
342,86.40455165
343,83.09679661
344,74.17756668
345,196.0837307
346,164.3315026
347,190.4647911
348,96.66103119
349,205.1084526
350,178.2271348
351,170.9815777
352,139.3493831
353,266.0216911
354,189.5837095
355,185.0862599
356,140.266117
357,126.0274044
358,148.9108652
359,137.1192941
360,198.6212915
361,136.2742015
362,167.1838898
363,253.2252411
364,81.35149676
365,164.7122859
366,114.1544887
367,203.5396572
368,156.6096686
369,210.8611352
370,188.3801723
371,131.5845925
372,70.94596333
373,72.32344217
374,123.9599833
375,210.9531121
376,101.2627773
377,112.0118704
378,176.3603116
379,125.62341
380,73.91927068
381,271.4113189
382,157.340164
383,306.9534243
384,111.4137732
385,125.8523697
386,121.2564598
387,269.8836566
388,190.942838
389,153.8035401
390,173.7867221
391,70.83634743
392,206.1407385
393,128.2535948
394,172.8102121
395,74.30937812
396,168.2821015
397,153.6131915
398,239.4026536
399,103.7701839
400,72.80488626
401,77.13134081
402,79.73329367
403,128.3459212
404,371.7165695
405,78.99020209
406,84.59329164
407,99.59201556
408,145.0641766
409,241.5146714
410,226.7480483
411,174.1185755
412,154.5282047
413,77.05789271
414,132.9148007
415,122.5510672
416,160.6805255
417,252.6393614
418,74.10283399
419,126.4676177
420,80.12246857
421,212.3101752
422,91.43424434
423,153.8651233
424,77.4028219
425,217.125064
426,197.3148885
427,78.35736745
428,94.09202165
429,139.8543853
430,94.86747766
431,79.03873907
432,179.5639294
433,136.5089071
434,112.376963
435,92.24669839
436,234.340884
437,104.7712975
438,184.7407714
439,150.3980185
440,73.80984963
441,134.3989634
442,143.0980993
443,162.6642339
444,102.4176982
445,162.6262943
446,146.5315967
447,141.5606538
448,186.8517592
449,190.2310415
450,262.0796028
451,98.14440751
452,152.4794088
453,172.4789211
454,245.9157501
455,134.4585685
456,101.5116141
457,80.58780407
458,89.29406164
459,139.4955114
460,142.6328323
461,180.1336414
462,71.37440344
463,135.8293331
464,72.56219326
465,162.2213926
466,121.5614846
467,86.81504138
468,158.327833
469,106.869933
470,103.2605323
471,168.900388
472,160.7678736
473,147.4973736
474,166.7097314
475,100.5026157
476,133.2460667
477,95.12541063
478,143.6417708
479,142.1186352
480,130.1965844
481,129.4921414
482,99.063222
483,229.7670888
484,167.7052815
485,146.1078456
486,219.0655511
487,78.90089974
488,114.576268
489,72.04034941
490,270.1815412
491,157.9472239
492,161.9264775
493,92.69863296
494,90.81606901
495,95.192819
496,268.8518515
497,312.48837
498,88.66859592
499,108.7670884
500,125.1564969
501,72.19279424
