X,Y,X2,Y2,Company
6.4,2.9,4.3,1.3,BH
6.6,3,4.4,1.4,BH
6.8,2.8,4.8,1.4,BH
6.7,3,5,1.7,BH
6,2.9,4.5,1.5,BH
5.7,2.6,3.5,1,BH
5.5,2.4,3.8,1.1,BH
5.5,2.4,3.7,1,BH
5.8,2.7,3.9,1.2,BH
6,2.7,5.1,1.6,BH
5.4,3,4.5,1.5,BH
6,3.4,4.5,1.6,BH
6.7,3.1,4.7,1.5,BH
6.3,2.3,4.4,1.3,BH
5.6,3,4.1,1.3,BH
5.5,2.5,4,1.3,BH
5.5,2.6,4.4,1.2,BH
6.1,3,4.6,1.4,BH
5.8,2.6,4,1.2,BH
5,2.3,3.3,1,BH
5.6,2.7,4.2,1.3,BH
5.7,3,4.2,1.2,BH
5.7,2.9,4.2,1.3,BH
6.2,2.9,4.3,1.3,BH
5.1,2.5,3,1.1,BH
5.7,2.8,4.1,1.3,BH
6.3,3.3,6,2.5,WFD
5.8,2.7,5.1,1.9,WFD
7.1,3,5.9,2.1,WFD
6.3,2.9,5.6,1.8,WFD
6.5,3,5.8,2.2,WFD
7.6,3,6.6,2.1,WFD
4.9,2.5,4.5,1.7,WFD
7.3,2.9,6.3,1.8,WFD
6.7,2.5,5.8,1.8,WFD
7.2,3.6,6.1,2.5,WFD
6.5,3.2,5.1,2,WFD
6.4,2.7,5.3,1.9,WFD
6.8,3,5.5,2.1,WFD
5.7,2.5,5,2,WFD
5.8,2.8,5.1,2.4,WFD
6.4,3.2,5.3,2.3,WFD
6.5,3,5.5,1.8,WFD
7.7,3.8,6.7,2.2,WFD
7.7,2.6,6.9,2.3,WFD
6,2.2,5,1.5,WFD
6.9,3.2,5.7,2.3,WFD
5.6,2.8,4.9,2,WFD
7.7,2.8,6.7,2,WFD
6.3,2.7,4.9,1.8,WFD
6.7,3.3,5.7,2.1,WFD
7.2,3.2,6,1.8,WFD
6.2,2.8,4.8,1.8,WFD
6.1,3,4.9,1.8,WFD
6.4,2.8,5.6,2.1,WFD
7.2,3,5.8,1.6,WFD
7.4,2.8,6.1,1.9,WFD
7.9,3.8,6.4,2,WFD
6.4,2.8,5.6,2.2,WFD
6.3,2.8,5.1,1.5,WFD
6.1,2.6,5.6,1.4,WFD
7.7,3,6.1,2.3,WFD
6.3,3.4,5.6,2.4,WFD
6.4,3.1,5.5,1.8,WFD
6,3,4.8,1.8,WFD
6.9,3.1,5.4,2.1,WFD
6.7,3.1,5.6,2.4,WFD
6.9,3.1,5.1,2.3,WFD
5.8,2.7,5.1,1.9,WFD
6.8,3.2,5.9,2.3,WFD
6.7,3.3,5.7,2.5,WFD
6.7,3,5.2,2.3,WFD
6.3,2.5,5,1.9,WFD
6.5,3,5.2,2,WFD
6.2,3.4,5.4,2.3,WFD
5.9,3,5.1,1.8,WFD
